id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q114293540,"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society",Q1025,Q1025,,,,,,,
Q99229078,Finance minister of Mauritania,Q1025,,,,,,,,
Q114293567,Food Security Commissioner of Mauritania,Q1025,Q1025,,,,,,,
Q56062123,Foreign Minister of Mauritania,Q1025,Q1025,,,,,,,
Q114293591,General Representative for National Solidarity and Anti-Exclusion,Q1025,Q1025,,,,,,,
Q114293597,Government Spokesperson of Mauritania,Q1025,Q1025,,,,,,,
Q114293227,Governor of the Central Bank of Mauritania,Q1025,,,,,,,,
Q112081177,Health minister of Mauritania,Q1025,Q1025,,,,,,,
Q29433410,Mauritanian Ambassador to China,Q1025,,,,,,,,List of ambassadors of Mauritania to China
Q29098396,Mauritanian Ambassador to Germany,Q1025,,,,,,,,List of ambassadors of Mauritania to Germany
Q30592794,Mauritanian Ambassador to the United States,Q1025,,,,,,,,List of ambassadors of Mauritania to the United States
Q21328586,Member of the Assembly of Senators of Mauritania,,Q1025,,,,,,,
Q21295992,Member of the National Assembly of Mauritania,Q1025,Q1025,,,,,,,
Q114292671,Minister Counsellor at the Presidency of the Republic,Q1025,Q1025,,,,,,,
Q114292672,Minister Secretary-General of Government,Q1025,Q1025,,,,,,,
Q114292674,Minister Secretary-General of the Presidency of the Republic,Q1025,Q1025,,,,,,,
Q114292675,Minister of Agriculture,Q1025,Q1025,,,,,,,
Q114292676,"Minister of Culture, Youth, Sports and Relations with Parliament",Q1025,Q1025,,,,,,,
Q114292677,"Minister of Digital Transformation, Innovation, and Modernization of Administration",Q1025,Q1025,,,,,,,
Q114292678,Minister of Economic Affairs and Promotion of Productive Sectors,Q1025,Q1025,,,,,,,
Q114292679,Minister of Employment and Vocational Training,Q1025,Q1025,,,,,,,
Q63976869,Minister of Energy and Oil,Q1025,Q1025,,,,,,,
Q114292680,Minister of Environment and Sustainable Development,Q1025,Q1025,,,,,,,
Q114292681,Minister of Equipement and Transports,Q1025,Q1025,,,,,,,
Q114292682,Minister of Fishing and Maritime Economy,Q1025,Q1025,,,,,,,
Q114292683,Minister of Higher Education and Scientific Research,Q1025,Q1025,,,,,,,
Q114292684,"Minister of Housing, Urbanism and Land Planning",Q1025,Q1025,,,,,,,
Q114292685,Minister of Islamic Affairs and Original Education,Q1025,Q1025,,,,,,,
Q114292687,Minister of Justice,Q1025,Q1025,,,,,,,
Q114292689,Minister of Livestock,Q1025,Q1025,,,,,,,
Q114292691,Minister of National Defense,Q1025,Q1025,,,,,,,
Q114292693,Minister of National Education and Reform of Education System,Q1025,Q1025,,,,,,,
Q114292695,Minister of Public Service and Labor,Q1025,Q1025,,,,,,,
Q114292697,Minister of Social Action,Q1025,Q1025,,,,,,,
Q63214203,"Minister of Social Affairs, Childhood and Family Affairs",Q1025,Q1025,,,,,,,
Q114292698,"Minister of Trade, Industry, Handicrafts, and Tourism",Q1025,Q1025,,,,,,,
Q114292699,Minister of Water and Sanitation,Q1025,Q1025,,,,,,,
Q114292701,Minister of the Interior and Decentralisation,Q1025,Q1025,,,,,,,
Q28002551,President of Mauritania,Q1025,Q1025,,Q1622311,1961-08-20,,,,
Q30101469,Prime Minister of Mauritania,Q1025,Q1025,,Q3179769,1960-11-28,,,,
Q114292047,ambassador of Mauritania to France,,,,,,,,,
